INTERSECTION,FIRST APPROACH,SECOND APPROACH,THIRD APPROACH,GO LIVE DATE,LATITUDE,LONGITUDE,LOCATION
142 E Ontario St,WB,,,11/27/2008,41.89335,-87.6237,"(41.89335, -87.6237)"
2406 N Clark St,SEB,,,01/29/2006,41.92577,-87.64073,"(41.92577, -87.64073)"
4653 W Irving Park Rd,EB,,,07/08/2017,41.95336,-87.74506,"(41.95336, -87.74506)"
2377 N Ashland Ave,NB,,,08/28/2008,41.92486,-87.66797,"(41.92486, -87.66797)"
371 E 31st St,EB,,,06/20/2008,41.83834,-87.61787,"(41.83834, -87.61787)"
3452 S Western Ave,SB,,,10/09/2004,41.83056,-87.68517,"(41.83056, -87.68517)"
1215 S Kostner Ave,NB,,,03/15/2004,41.86578,-87.73486,"(41.86578, -87.73486)"
630 N Michigan Ave,SB,,,11/27/2008,41.89368,-87.62433,"(41.89368, -87.62433)"
10 E 63rd St,WB,,,11/24/2007,41.78008,-87.62507,"(41.78008, -87.62507)"
2743 N Western Ave,NB,,,02/28/2004,41.93181,-87.68775,"(41.93181, -87.68775)"
176 W Garfield Blvd,WB,,,05/05/2008,41.79446,-87.63011,"(41.79446, -87.63011)"
149 W Kinzie St,EB,,,04/27/2004,41.88913,-87.63292,"(41.88913, -87.63292)"
1173 N Ashland Ave,NB,,,06/05/2009,41.90299,-87.66732,"(41.90299, -87.66732)"
3952 W Armitage Ave,WB,,,11/23/2007,41.91726,-87.72621,"(41.91726, -87.72621)"
5207 S Cicero Ave,NB,,,11/10/2007,41.79839,-87.74271,"(41.79839, -87.74271)"
4650 W Irving Park Rd,WB,,,07/08/2017,41.95355,-87.74422,"(41.95355, -87.74422)"
5450 S Pulaski Rd,SB,,,11/16/2004,41.7937,-87.72334,"(41.7937, -87.72334)"
5356 S Archer Ave,WB,,,11/11/2007,41.79889,-87.74237,"(41.79889, -87.74237)"
3953 N Ashland Ave,NB,,,08/23/2008,41.95401,-87.66889,"(41.95401, -87.66889)"
2552 S Kedzie Ave,SB,,,10/31/2010,41.84479,-87.70516,"(41.84479, -87.70516)"
1149 N Pulaski Rd,NB,,,09/15/2009,41.90241,-87.72618,"(41.90241, -87.72618)"
1206 N Pulaski Rd,SB,,,06/06/2009,41.9029,-87.72642,"(41.9029, -87.72642)"
489 N Columbus Dr,NB,,,10/26/2010,41.89078,-87.62006,"(41.89078, -87.62006)"
311 S Michigan Ave,NB,,,02/17/2018,41.87795,-87.62412,"(41.87795, -87.62412)"
208 N Sacramento Blvd,SB,,,01/21/2009,41.8844,-87.7014,"(41.8844, -87.7014)"
750 W North Ave,WB,,,10/22/2007,41.91101,-87.64792,"(41.91101, -87.64792)"
6717 S Stony Island Ave,NB,,,10/18/2008,41.77304,-87.58617,"(41.77304, -87.58617)"
3134 W Armitage Ave,WB,,,05/29/2008,41.91749,-87.70657,"(41.91749, -87.70657)"
2382 W Madison St,WB,,,05/30/2004,41.88125,-87.68591,"(41.88125, -87.68591)"
3960 W Irving Park Rd,WB,,,06/25/2008,41.95379,-87.72723,"(41.95379, -87.72723)"
6254 S Pulaski Rd,SB,,,03/28/2007,41.77897,-87.72294,"(41.77897, -87.72294)"
2344 W Diversey Ave,WB,,,02/28/2004,41.93226,-87.68733,"(41.93226, -87.68733)"
4707 S Kedzie Ave,NB,,,03/27/2008,41.80782,-87.70386,"(41.80782, -87.70386)"
4020 N Elston Ave,SEB,,,02/15/2006,41.95403,-87.71981,"(41.95403, -87.71981)"
4007 W Armitage Ave,EB,,,05/29/2008,41.91709,-87.72694,"(41.91709, -87.72694)"
2160 S Pulaski Rd,SB,,,10/08/2004,41.85195,-87.72489,"(41.85195, -87.72489)"
11 S Hamlin Blvd,NB,,,04/27/2009,41.8805,-87.72058,"(41.8805, -87.72058)"
2381 N Pulaski Rd,NB,,,06/26/2008,41.92417,-87.72665,"(41.92417, -87.72665)"
3210 N Lake Shore Dr,SB,,,10/16/2007,41.94055,-87.63906,"(41.94055, -87.63906)"
3241 W Addison St,EB,,,10/15/2007,41.94653,-87.70919,"(41.94653, -87.70919)"
3616 N Elston Ave,SEB,,,07/29/2008,41.94683,-87.70932,"(41.94683, -87.70932)"
4011 W Diversey Ave,EB,,,06/28/2008,41.93171,-87.7274,"(41.93171, -87.7274)"
1215 S Canal St,NB,,,11/28/2008,41.86693,-87.63912,"(41.86693, -87.63912)"
3152 W 47th St,WB,,,03/28/2008,41.80821,-87.70362,"(41.80821, -87.70362)"
740 W Division St,WB,,,06/26/2009,41.90375,-87.64762,"(41.90375, -87.64762)"
2409 W Chicago Ave,EB,,,05/05/2007,41.89565,-87.6873,"(41.89565, -87.6873)"
13 S Western Ave,NB,,,05/29/2004,41.8809,-87.68628,"(41.8809, -87.68628)"
133 N Sacramento Blvd,NB,,,01/20/2009,41.88375,-87.7012,"(41.88375, -87.7012)"
3084 S Kedzie Ave,SB,,,05/20/2008,41.83753,-87.70493,"(41.83753, -87.70493)"
4009 W 63rd St,EB,,,03/29/2007,41.77858,-87.72322,"(41.77858, -87.72322)"
2404 N Western Ave,SB,,,04/05/2004,41.92523,-87.68782,"(41.92523, -87.68782)"
3517 S Western Ave,NB,,,10/08/2004,41.83,-87.6849,"(41.83, -87.6849)"
2810 N Pulaski Rd,SB,,,06/27/2008,41.9321,-87.7271,"(41.9321, -87.7271)"
2782 W Irving Park Rd,WB,,,02/02/2009,41.9541,-87.69782,"(41.9541, -87.69782)"
7050 S Cottage Grove Ave,SB,,,04/28/2008,41.76633,-87.60571,"(41.76633, -87.60571)"
2816 N Damen Ave,SB,,,10/16/2007,41.9327,-87.67824,"(41.9327, -87.67824)"
3409 W North Ave,EB,,,10/22/2007,41.90994,-87.71234,"(41.90994, -87.71234)"
5486 S Western Ave,SB,,,05/05/2008,41.79419,-87.68421,"(41.79419, -87.68421)"
2140 S Western Ave,SB,,,12/26/2009,41.85237,-87.6858,"(41.85237, -87.6858)"
1311 W Irving Park Rd,EB,,,07/20/2008,41.95431,-87.66261,"(41.95431, -87.66261)"
6715 S Cornell Dr,NB,,,10/19/2008,41.77307,-87.58589,"(41.77307, -87.58589)"
4410 W Grand Ave,SEB,,,03/09/2004,41.91009,-87.73655,"(41.91009, -87.73655)"
1607 W Irving Park Rd,EB,,,08/24/2008,41.95419,-87.6695,"(41.95419, -87.6695)"
732 W Roosevelt Rd,WB,,,06/11/2008,41.86728,-87.64644,"(41.86728, -87.64644)"
373 W Belmont Ave,EB,,,03/08/2010,41.94012,-87.63902,"(41.94012, -87.63902)"
3647 W Irving Park Rd,EB,,,07/15/2008,41.95366,-87.71969,"(41.95366, -87.71969)"
1579 N Pulaski Rd,NB,,,11/27/2008,41.90955,-87.72634,"(41.90955, -87.72634)"
2360 W Van Buren St,WB,,,05/27/2008,41.87617,-87.68575,"(41.87617, -87.68575)"
2783 N Kimball Ave,NB,,,06/26/2008,41.93169,-87.7122,"(41.93169, -87.7122)"
6309 S Damen Ave,NB,,,01/15/2006,41.77903,-87.67381,"(41.77903, -87.67381)"
73 E Jackson Blvd,EB,,,02/17/2018,41.87823,-87.62485,"(41.87823, -87.62485)"
2343 N Western Ave,NB,,,01/25/2010,41.92458,-87.6875,"(41.92458, -87.6875)"
3209 W 55th St,EB,,,05/20/2008,41.79343,-87.70393,"(41.79343, -87.70393)"
2446 N Damen Ave,SB,,,01/20/2018,41.9261,-87.67801,"(41.9261, -87.67801)"
799 N Western Ave,NB,,,05/05/2007,41.89543,-87.6867,"(41.89543, -87.6867)"
2413 W North Ave,EB,,,11/24/2007,41.9102,-87.68775,"(41.9102, -87.68775)"
4656 S Western Ave,SB,,,11/27/2004,41.80873,-87.68457,"(41.80873, -87.68457)"
514 S Cicero Ave,SB,,,11/16/2009,41.8735,-87.74514,"(41.8735, -87.74514)"
3950 W North Ave,WB,,,11/28/2008,41.91002,-87.72595,"(41.91002, -87.72595)"
2609 S Kedzie Ave,NB,,,10/30/2010,41.84408,-87.70494,"(41.84408, -87.70494)"
1205 S Pulaski Rd,NB,,,07/14/2009,41.86587,-87.72505,"(41.86587, -87.72505)"
2391 N Halsted St,NB,,,05/12/2009,41.92506,-87.64864,"(41.92506, -87.64864)"
380 W Wacker Dr,SB,,,01/20/2018,41.8861,-87.63686,"(41.8861, -87.63686)"
4010 N Pulaski Rd,SB,,,05/17/2007,41.95402,-87.72774,"(41.95402, -87.72774)"
2374 S Kostner Ave,SB,,,05/21/2008,41.84804,-87.73451,"(41.84804, -87.73451)"
3946 W 55th St,WB,,,11/17/2004,41.79331,-87.72272,"(41.79331, -87.72272)"
105 W Chicago Ave,EB,,,10/19/2010,41.89653,-87.63165,"(41.89653, -87.63165)"
810 N Pulaski Rd,SB,,,02/17/2010,41.89568,-87.7262,"(41.89568, -87.7262)"
3801 W Madison St,EB,,,04/27/2009,41.8807,-87.72119,"(41.8807, -87.72119)"
1591 N Kostner Ave,NB,,,03/08/2004,41.90954,-87.7362,"(41.90954, -87.7362)"
1950 W Division St,WB,,,10/03/2007,41.90329,-87.67694,"(41.90329, -87.67694)"
6274 S Damen Ave,SB,,,01/16/2006,41.77954,-87.67397,"(41.77954, -87.67397)"
342 S Western Ave,SB,,,05/26/2008,41.8763,-87.68649,"(41.8763, -87.68649)"
3103 S Martin Luther King Dr,NB,,,06/19/2008,41.83813,-87.61723,"(41.83813, -87.61723)"
3202 N Kedzie Ave,SB,,,02/26/2009,41.93968,-87.70779,"(41.93968, -87.70779)"
2010 N Kedzie Ave,SB,,,05/17/2009,41.9177,-87.70714,"(41.9177, -87.70714)"
3563 N Western Ave,NB,,,02/23/2006,41.94645,-87.68811,"(41.94645, -87.68811)"
5452 S Kedzie Ave,SB,,,05/20/2008,41.7938,-87.70367,"(41.7938, -87.70367)"
1569 N Homan Ave,NB,,,11/12/2008,41.90975,-87.71179,"(41.90975, -87.71179)"
6313 S Kedzie Ave,NB,,,11/23/2007,41.77867,-87.70302,"(41.77867, -87.70302)"
2755 N California Ave,NB,,,07/16/2008,41.93184,-87.6975,"(41.93184, -87.6975)"
1613 W Cortland St,EB,,,11/12/2008,41.91607,-87.66832,"(41.91607, -87.66832)"
6250 S State St,SB,,,11/23/2007,41.78026,-87.6254,"(41.78026, -87.6254)"
4989 S Archer Ave,NEB,,,10/28/2007,41.80194,-87.72385,"(41.80194, -87.72385)"
2425 W Cermak Rd,EB,,,12/27/2009,41.85195,-87.68614,"(41.85195, -87.68614)"
5523 S Wentworth Ave,NB,,,05/05/2008,41.79383,-87.63034,"(41.79383, -87.63034)"
98 W Chicago Ave,WB,,,10/20/2010,41.89673,-87.63093,"(41.89673, -87.63093)"
300 N Hamlin Ave,SB,,,05/29/2008,41.8855,-87.72105,"(41.8855, -87.72105)"
2811 W Diversey Ave,EB,,,10/02/2007,41.93203,-87.69798,"(41.93203, -87.69798)"
2011 W Fullerton Ave,EB,,,04/04/2004,41.92492,-87.67858,"(41.92492, -87.67858)"
1601 W Division St,EB,,,09/15/2009,41.90323,-87.66783,"(41.90323, -87.66783)"
25 N Cicero Ave,NB,,,06/12/2008,41.88157,-87.74521,"(41.88157, -87.74521)"
2380 W Marquette Rd,WB,,,05/29/2008,41.77203,-87.68299,"(41.77203, -87.68299)"
4701 S Western Ave,NB,,,11/27/2004,41.80813,-87.6843,"(41.80813, -87.6843)"
6301 S Western Ave,NB,,,11/09/2007,41.77893,-87.68351,"(41.77893, -87.68351)"
498 N Columbus Dr,SB,,,10/26/2010,41.89135,-87.6204,"(41.89135, -87.6204)"
3141 N Kedzie Ave,NB,,,02/25/2009,41.9389,-87.70738,"(41.9389, -87.70738)"
�201 N Upper Wacker Dr,NB,,,02/16/2006,41.88546,-87.63672,"(41.88546, -87.63672)"
3970 W Fullerton Ave,WB,,,06/26/2008,41.92461,-87.7264,"(41.92461, -87.7264)"
4996 S Archer Ave,SWB,,,10/29/2007,41.80269,-87.72302,"(41.80269, -87.72302)"
269 N Hamlin Ave,NB,,,05/28/2008,41.88494,-87.72081,"(41.88494, -87.72081)"
4809 W Harrison St,EB,,,11/17/2009,41.87304,-87.74544,"(41.87304, -87.74544)"
1546 W Madison St,WB,,,03/04/2004,41.88156,-87.6664,"(41.88156, -87.6664)"
644 Roosevelt Rd,WB,,,11/28/2008,41.86737,-87.6387,"(41.86737, -87.6387)"
3 S Halsted St,NB,,,06/11/2008,41.8815,-87.64725,"(41.8815, -87.64725)"
1139 N Halsted St,NB,,,07/15/2009,41.90335,-87.64794,"(41.90335, -87.64794)"
5 S Ashland Ave,NB,,,03/03/2004,41.88122,-87.66663,"(41.88122, -87.66663)"
4174 S Cicero Ave,SB,,,04/27/2009,41.81703,-87.74361,"(41.81703, -87.74361)"
2409 W 55th St,EB,,,05/06/2008,41.79378,-87.68451,"(41.79378, -87.68451)"
4213 S Cicero Ave,NB,,,04/26/2009,41.81646,-87.74318,"(41.81646, -87.74318)"
3201 W Belmont,EB,,,06/05/2009,41.93924,-87.70795,"(41.93924, -87.70795)"
7082 S South Chicago Ave,SEB,,,04/27/2008,41.7662,-87.60624,"(41.7662, -87.60624)"
3204 N Pulaski Rd,SB,,,06/06/2009,41.93929,-87.7273,"(41.93929, -87.7273)"
809 W Roosevelt Rd,EB,,,06/12/2008,41.86703,-87.64739,"(41.86703, -87.64739)"
4750 W 47th St,WB,,,03/29/2008,41.80774,-87.74265,"(41.80774, -87.74265)"
2415 W Addison St,EB,,,05/16/2007,41.94665,-87.68858,"(41.94665, -87.68858)"
2404 N Ashland Ave,SB,,,08/29/2008,41.92546,-87.66833,"(41.92546, -87.66833)"
